"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-oZ2qpzSm6KBnTQCnxYTfGD","LegalEntity","XINJIANG TIANSHAN AUTOMOBILE MANUFACTURING CO., LTD.","","","cn","NO. 688, RONGHE SOUTH ROAD, URUMQI ECONOMIC & TECHNOLOGICAL DEVELOPMENT ZONE, XINJIANG, China","","Controlled Affiliate of a Sanctioned Entity - 2024-01-30 - 2026-05-29","","","","WorldBank Debarred Providers","2024-01-31T15:03:01","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-1021985","LegalEntity","DUMDUMA CONSTRUCTION AND TRADING CORPORATION","","","ph","1600 ESPANA BLVD. COR. DOS CASTILLAS ST., SAMPALOC, MANILA, Philippines","","Obstructive Practice - 2026-03-04 - 2027-09-03","","","","WorldBank Debarred Providers","2026-03-05T15:03:02","2026-03-23T15:03:02","2026-03-05T15:03:02"
"wbdeb-1021996","LegalEntity","MR. PLACIDO C. DUMDUMA","","","ph","1600 ESPANA BLVD. COR. DOS CASTILLAS ST., SAMPALOC, MANILA, Philippines","","Obstructive Practice - 2026-03-04 - 2027-09-03","","","","WorldBank Debarred Providers","2026-03-05T15:03:02","2026-03-23T15:03:02","2026-03-05T15:03:02"
"wbdeb-1039676","LegalEntity","S.N. NANDA & CO. CHARTERED ACCOUNTANTS","","","in","C-43, PAMPOSH ENCLAVE, GREATER KAILASH-I, NEW DELHI – 110048 -, India","","Obstructive Practice - 2026-03-09 - 2026-11-08","","","","WorldBank Debarred Providers","2026-03-10T15:03:02","2026-03-23T15:03:02","2026-03-10T15:03:02"
"wbdeb-1044538","LegalEntity","KONTROLMATIK TEKNOLOJI ENERJI VE MÜHENDISLIK A.S.","","","tr","HUZUR MAH. AHMET BAYMAN CAD. NO: 2 SARIYER 34485, ISTANBUL, Turkiye","","Fraudulent and Obstructive Practices - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044539","LegalEntity","PROGRESIVA ENERJI YATIRIMLARI TICARET A.S.","","","tr","PROF. DR. AHMET TANER KISLALI MAH. BEYLER CAD. NO:19 ÇANKAYA, ANKARA, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044540","LegalEntity","POMEGA ENERJI DEPOLAMA TEKNOLOJILERI A.S.","","","tr","ÇEKIRDEKSIZ OSB MAH. 203. CAD. NO:15 POLATLI, ANKARA, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044551","LegalEntity","PLAN S UYDU VE UZAY TEKNOLOJILERI A.S.","","","tr","ÜNIVERSITELER MAH. 1596. CAD. NO:8/1 ÇANKAYA, ANKARA, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044552","LegalEntity","ENWAIR ENERJI TEKNOLOJILERI A.S.","","","tr","HUZUR MAH. AHMET BAYMAN CAD. NO:2/4 SARIYER, ISTANBUL, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044553","LegalEntity","MCFLY ROBOT TEKNOLOJILERI A.S.","","","tr","HUZUR MAH. AHMET BAYMAN CAD. NO:2A SARIYER, ISTANBUL, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044554","LegalEntity","NEXTOPIA ENERJI ÜRETIM A.S.","","","tr","HUZUR MAH. AHMET BAYMAN CAD. NO:2A SARIYER, ISTANBUL, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044555","LegalEntity","PROLECTRIC ENERJI ÜRETIM A.S.","","","tr","HUZUR MAH. AHMET BAYMAN CAD. NO:2A SARIYER, ISTANBUL, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044556","LegalEntity","SIGNUM TEKNOLOJI TANITIM VE EGITIM A.S.","","","tr","ÜNIVERSITELER MAH. 1596. CAD. NO:8B IÇ KAPI NO:12 ÇANKAYA, ANKARA, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044557","LegalEntity","EMEK ELEKTRIK ENDÜSTRI A.S.","","","tr","SARACALAR MAH. ÖZAL BULV. EMEK ELEKTRIK BLOK NO:224 AKYURT, ANKARA, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044558","LegalEntity","ÜÇ YILDIZ MADENCILIK ITHALAT IHRACAT SANAYI VE TICARET A.S.","","","tr","GÖYNÜK KÖYÜ ANTIMUAN MAD. OCAGI (ÜÇYILDIZ) APT. NO:75 GEDIZ, KUTAHYA, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044559","LegalEntity","KMT TEKNOLOJIK VE FINANSAL YATIRIMLAR A.S.","","","tr","HUZUR MAH. AHMET BAYMAN CAD. NO:2 SARIYER, ISTANBUL, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044560","LegalEntity","COSMOS YATIRIM HOLDING A.S.","","","tr","ORUÇREIS MAH. TEKSTILKENT CAD. A BLOK NO:12B/154 ESENLER, ISTANBUL, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044561","LegalEntity","BISERWIS ULASIM VE MOBIL TEKNOLOJILERI A.S.","","","tr","ORUÇREIS MAH. TEKSTILKENT CAD. A BLOK NO:12B/154TEKSTILKENT SITESI A19 BLOK NO: 10/110 ESENLER, ISTANBUL, Turkiye","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044562","LegalEntity","KONTROLMATIK TECHNOLOGIES INC.","","","us","8260 GREENSBORO DR, MC LEAN, United States","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044563","LegalEntity","POMEGA ENERGY STORAGE TECHNOLOGIES INC.","","","us","8260 GREENSBORO DR, MC LEAN, United States","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044565","LegalEntity","NENNKRAFT ENERGIE GMBH","","","de","MARSBRUCHSTRABE 133, 44287, DORTMUND, NORDRHEIN-WESTFALEN, Germany","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044567","LegalEntity","KMT INTERNATIONAL PROJECTS DMCC","","","ae","UNIT 1144 DMCC BUSINESS CENTRE, LEVEL 1, JEWELLERY & GEMPLEX 3, DUBAI, United Arab Emirates","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044568","LegalEntity","KONTROLMATIK CAMEROUN SARL","","","cm","IMMEUBLE SIS A, B.P. 11071 RUE 1803, BASTOS, YAOUNDE, Cameroon","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044570","LegalEntity","KONTROLMATIK BULGARIA EOOD","","","bg","1303 VAZRAZHDANE REGION, 101 ODRIN STR., SOFIA, Bulgaria","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044572","LegalEntity","FC LLC«KONTROLMATIK TECHNOLOGIES ORTA ASYA»","","","uz","""INTERNATIONAL BUSINESS CENTRE, 107-B AMIR TEMUR AVENUE,TASHKENT 6TH FLOOR OF BLOCK """"C"""", TASHKENT, Uzbekistan""","","Controlled Affiliate of a Sanctioned Entity. - 2025-12-10 - 2026-12-09","","","","WorldBank Debarred Providers","2025-12-11T15:03:01","2026-03-23T15:03:02","2025-12-11T15:03:01"
"wbdeb-1044596","LegalEntity","NEW AFRICA TECHNOLOGY COMPANY","","","lr","MORRIS DENNIS COMPOUND,OFF SEKOU TOURE AVENUE,BEHIND OLD LIBERIA LAND AUTHORITY OFFICES,MAMBA POINT, MONROVIA, Liberia","","Corrupt and Obstructive Practices - 2026-03-18 - 2029-03-17","","","","WorldBank Debarred Providers","2026-03-19T15:03:01","2026-03-23T15:03:02","2026-03-19T15:03:01"
"wbdeb-10446","LegalEntity","FLAIR DEVELOPMENTS LTD.","","","gb","ISLE OF MAN, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-1071234","LegalEntity","PRICEWATERHOUSECOOPERS ASSOCIATES AFRICA LTD.","","","mu","PWC CENTRE, AVENUE DE TELFAIR, TELFAIR 80829, MOKA, Mauritius","","Collusive and Fraudulent Practices - 2026-03-17 - 2027-12-16","","","","WorldBank Debarred Providers","2026-03-18T15:03:02","2026-03-23T15:03:02","2026-03-18T15:03:02"
